0,1,2,3,4,5,6,7,page,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Nurses,MT 7 - 2025,"54,920",10,800,11,"1,190",10,179,"1,320",10,"1,350","102,710",,,,,,,,,,
"Nurses, PSM, PMS Spl.Grade",MT 8 - 2025,"86,800",10,"2,420",8,"2,940",-,179,-,-,-,"134,520",,,,,,,,,,
Executive,SL 1 - 2025,"82,150",10,"2,400",8,"2,940",17,179,"3,900",-,,"195,970",,,,,,,,,,
Medical Officers,SL 2 - 2025,"91,750",3,"2,400",7,"2,420",2,179,"2,940",16,"3,900","184,170",,,,,,,,,,
"Senior executive/ MO
Specialists",SL 3 - 2025,"156,000",12,"4,850",-,-,-,179,-,-,-,"214,200",,,,,,,,,,
Initial,,,,,,,,179,,,,,,,,,,,,,,
step,,,,,,,,179,,,,,,,,,,,,,,
1st,,,,,,,,179,,,,,,,,,,,,,,
Slab,,,,,,,,179,,,,,,,,,,,,,,
2nd,,,,,,,,179,,,,,,,,,,,,,,
Slab,,,,,,,,179,,,,,,,,,,,,,,
3rd,,,,,,,,179,,,,,,,,,,,,,,
Slab,,,,,,,,179,,,,,,,,,,,,,,
4th,,,,,,,,179,,,,,,,,,,,,,,
Slab,,,,,,,,179,,,,,,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,"2nd
Slab",Years,180,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Secretaries,SL 4 - 2025,"175,000",12,"5,300",-,-,-,180,-,-,-,"238,600",,,,,,,,,,
Law Officers,SL 5 - 2025,"101,350",5,"2,400",5,"2,940",15,180,"3,900",-,-,"186,550",,,,,,,,,,
Sri Lanka Teachers Service,GE 1 - 2025,"53,060",6,800,7,940,2,180,"1,080",-,-,"66,600",,,,,,,,,,
Sri Lanka Teachers Service,GE 2 - 2025,"66,880",10,"1,490",7,"2,400",20,180,"2,940",-,-,"157,380",,,,,,,,,,
"Sri Lanka Teachers Advisors
Service",GE 3 - 2025,"70,870",3,"1,670",7,"2,400",20,180,"2,520",-,-,"143,080",,,,,,,,,,
Sri Lanka Principals Service,GE 4 - 2025,"72,280",7,"1,670",6,"2,400",25,180,"2,970",-,-,"172,620",,,,,,,,,,
Medical Practitioners,MP 1 - 2025,"59,720",12,"1,190",13,"1,340",10,180,"2,040",-,-,"111,820",,,,,,,,,,
Medical Practitioners Spl. Gr.,MP 2 - 2025,"97,540",9,"2,420",9,"2,940",-,180,-,-,-,"145,780",,,,,,,,,,
Police/Regulatory Services,RS 1 - 2025,"49,550",7,540,27,670,-,180,-,-,-,"71,420",,,,,,,,,,
Police/Regulatory Services,RS 2 - 2025,"54,000",9,670,17,890,-,180,-,-,-,"75,160",,,,,,,,,,
Police/Regulatory Services,RS 3 - 2025,"55,410",7,670,2,890,25,180,"1,190",-,-,"91,630",,,,,,,,,,
Police/Regulatory Services,RS 4 - 2025,"63,070",24,"1,190",-,-,-,180,-,-,-,"91,630",,,,,,,,,,
Initial,,,,,,,,180,,,,,,,,,,,,,,
step,,,,,,,,180,,,,,,,,,,,,,,
1st,,,,,,,,180,,,,,,,,,,,,,,
Slab,,,,,,,,180,,,,,,,,,,,,,,
2nd,,,,,,,,180,,,,,,,,,,,,,,
Slab,,,,,,,,180,,,,,,,,,,,,,,
3rd,,,,,,,,180,,,,,,,,,,,,,,
Slab,,,,,,,,180,,,,,,,,,,,,,,
4th,,,,,,,,180,,,,,,,,,,,,,,
Slab,,,,,,,,180,,,,,,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,"2nd
Slab",Years,181,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Police/Regulatory Service,RS 5 - 2025,"72,800",17,"1,400",-,-,-,181,-,-,-,"96,600",,,,,,,,,,
Postal Service,PPL 1 - 2025,"40,000",10,450,10,490,-,181,-,-,-,,,,,,,,,,,
Postal Service,PPL 2 - 2025,"40,900",10,470,10,500,-,181,-,-,-,,,,,,,,,,,
Postal Service,PPL 3 - 2025,"41,800",10,500,10,540,-,181,-,-,-,,,,,,,,,,,
Postal Service,PPL 4 - 2025,"43,800",10,540,10,630,-,181,-,-,-,,,,,,,,,,,
Postal Service,PSO 1 - 2025,"45,420",10,540,10,630,-,181,-,-,-,,,,,,,,,,,
Postal Service,PSO 2 - 2025,"54,650",10,800,10,"1,190",-,181,-,-,-,,,,,,,,,,,
Postal Service,PSO 3 - 2025,"74,660",9,"1,320",11,"1,340",-,181,-,-,-,,,,,,,,,,,
Sri Lanka State Audit Service,AS 1 - 2025,"64,610",10,"1,190",11,"1,360",15,181,"1,670",-,-,"116,520",,,,,,,,,,
Sri Lanka State Audit Service,AS 2 - 2025,"78,040",11,"1,360",18,"1,850",-,181,-,-,-,"126,300",,,,,,,,,,
Sri Lanka State Audit Service,AS 3 - 2025,"86,950",10,"2,400",8,"2,940",17,181,"3,900",-,-,"200,770",,,,,,,,,,
Sri Lanka State Audit Service,AS 4 - 2025,"165,700",12,"4,850",-,,-,181,-,-,-,"223,900",,,,,,,,,,
Initial,,,,,,,,181,,,,,,,,,,,,,,
step,,,,,,,,181,,,,,,,,,,,,,,
1st,,,,,,,,181,,,,,,,,,,,,,,
Slab,,,,,,,,181,,,,,,,,,,,,,,
2nd,,,,,,,,181,,,,,,,,,,,,,,
Slab,,,,,,,,181,,,,,,,,,,,,,,
3rd,,,,,,,,181,,,,,,,,,,,,,,
Slab,,,,,,,,181,,,,,,,,,,,,,,
4th,,,,,,,,181,,,,,,,,,,,,,,
Slab,,,,,,,,181,,,,,,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,"2nd
Slab",Years,182,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Grama Niladari Service,GN 1 - 2025,"50,630",10,540,11,630,10,182,"1,010",10,"1,190","84,960",,,,,,,,,,
Grama Niladari Service,GN 2 - 2025,"72,600",11,"1,360",18,"1,850",-,182,-,-,-,"120,860",,,,,,,,,,
Railway,Railway -2025,"57,810",5,890,5,"1,030",10,182,"1,300",10,"1,340","93,810",,,,,,,,,,
Initial,,,,,,,,182,,,,,,,,,,,,,,
step,,,,,,,,182,,,,,,,,,,,,,,
1st,,,,,,,,182,,,,,,,,,,,,,,
Slab,,,,,,,,182,,,,,,,,,,,,,,
2nd,,,,,,,,182,,,,,,,,,,,,,,
Slab,,,,,,,,182,,,,,,,,,,,,,,
3rd,,,,,,,,182,,,,,,,,,,,,,,
Slab,,,,,,,,182,,,,,,,,,,,,,,
4th,,,,,,,,182,,,,,,,,,,,,,,
Slab,,,,,,,,182,,,,,,,,,,,,,,
No,Category,,Salary,,Group,,Initial,182,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,,Step,182,,,,slab,,,,slab,,,,slab,,
1,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,III,"49,550",,182,,7,540,,,19,670,,,,,,,"66,060"
2,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,II,"50,090",,182,,6,540,,,19,670,,,,,,,"66,060"
3,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,I,"50,630",,182,,5,540,,,19,670,,,,,,,"66,060"
4,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,III,"51,170",,182,,4,540,,,19,670,,,,,,,"66,060"
5,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,II,"51,710",,182,,3,540,,,19,670,,,,,,,"66,060"
6,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,I,"52,250",,182,,2,540,,,19,670,,,,,,,"66,060"
No,Category,,Salary,,Group,,Initial,183,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,,Step,183,,,,slab,,,,slab,,,,slab,,
7,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,Special,"52,790",,183,,1,540,,,19,670,,,,,,,"66,060"
8,Corporal/Leading Seaman/Corporal,OR 3-2025,,,III,"52,790",,183,,1,540,,,10,670,,,9,890,,,"68,040"
9,Corporal/Leading Seaman/Corporal,OR 3-2025,,,II,"53,330",,183,,10,670,,,9,890,,,,,,,"68,040"
10,Corporal/Leading Seaman/Corporal,OR 3-2025,,,I,"54,000",,183,,9,670,,,9,890,,,,,,,"68,040"
11,Corporal/Leading Seaman/Corporal,OR 3-2025,,,Special,"54,670",,183,,8,670,,,9,890,,,,,,,"68,040"
12,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,III,"54,670",,183,,3,670,,,9,890,,,3,"1,190",,,"68,260"
13,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,II,"55,340",,183,,2,670,,,9,890,,,3,"1,190",,,"68,260"
14,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,I,"56,010",,183,,1,670,,,9,890,,,3,"1,190",,,"68,260"
15,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,Special,"56,680",,183,,9,890,,,3,"1,190",,,,,,,"68,260"
16,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,III,"56,010",,183,,1,670,,,9,890,,,3,"1,190",,,"68,260"
17,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,II,"56,680",,183,,9,890,,,3,"1,190",,,,,,,"68,260"
18,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,I,"57,570",,183,,8,890,,,3,"1,190",,,,,,,"68,260"
19,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,Special,"58,460",,183,,7,890,,,3,"1,190",,,,,,,"68,260"
20,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,III,"59,350",,183,,6,890,,,14,"1,190",,,,,,,"81,350"
No,Category,,Salary,,Group,,Initial,184,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,,Step,184,,,,slab,,,,slab,,,,slab,,
21,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,II,"60,240",,184,,5,890,,,14,"1,190",,,,,,,"81,350"
22,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,I,"61,130",,184,,4,890,,,14,"1,190",,,,,,,"81,350"
23,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,Special,"62,020",,184,,3,890,,,14,"1,190",,,,,,,"81,350"
24,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,III,"65,880",,184,,13,"1,190",,,,,,,,,,,"81,350"
25,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,II,"67,070",,184,,12,"1,190",,,,,,,,,,,"81,350"
26,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,I,"68,260",,184,,11,"1,190",,,,,,,,,,,"81,350"
27,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,Special,"69,450",,184,,10,"1,190",,,,,,,,,,,"81,350"
28,Cadet,"Fixed
Salary",,,,"54,670",,184,,,,,,,,,,,,,,"54,670"
29,Mid Shipman,"Fixed
Salary",,,,"55,340",,184,,,,,,,,,,,,,,"55,340"
30,"2nd Lieutenant (cadet)/ Pilot Officer
(cadet)","Fixed
Salary",,,,"65,880",,184,,,,,,,,,,,,,,"65,880"
31,"2nd Lieutenant (non cadet)/ Pilot
Officer (non cadet)","Fixed
Salary",,,,"71,830",,184,,,,,,,,,,,,,,"71,830"
32,"Lieutenant / Sub Lieutenant/Flying
Officer",R 1-2025,,,,"82,150",,184,,30,"2,400",,,,,,,,,,,"154,150"
33,Quarter Master,R 2-2025,,,,"84,550",,184,,30,"2,400",,,,,,,,,,,"156,550"
No,Category,,Salary,,Group,,Initial,185,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,,Step,185,,,,slab,,,,slab,,,,slab,,
34,Captain/Lieutenant/Flight Lieutenant,R 3-2025,,,,"96,550",,185,,24,"2,400",,,,,,,,,,,"154,150"
35,"Major/Lieutenant
Commander/Squadron Leader",R 4-2025,,,,"106,150",,185,,22,"2,400",,,,,,,,,,,"158,950"
36,"Lieutenant Colonel/Commander/Wing
Commander",R 5-2025,,,,"109,090",,185,,17,"2,940",,,,,,,,,,,"159,070"
37,Colonel/Captain/Group Captain,R 6-2025,,,,"133,570",,185,,17,"3,900",,,,,,,,,,,"199,870"
38,"Brigadier/Commodore/Air
Commodore",R 7-2025,,,,"141,370",,185,,15,"3,900",,,,,,,,,,,"199,870"
39,"Major General/Rear Admiral/Air Vise
Marshal",R 8-2025,,,,"156,000",,185,,12,"4,850",,,,,,,,,,,"214,200"
40,"Lieutenant General/Vise Admiral/Air
Marshal",R 9-2025,,,,"165,700",,185,,10,"4,850",,,,,,,,,,,"214,200"
41,General/Admiral/Air Chief Marshal,R 10-2025,,,,"180,250",,185,,7,"4,850",,,,,,,,,,,"214,200"
No,Service Category,Salary Code,,Initial,,Years,1st Slab,186,Years,,2nd,,Years,,3rd,,Maximum,,,,,
,,,,Step,,,,186,,,Slab,,,,Slab,,,,,,,
1,Primary Level,A-2025,"42,290",,,9,490,186,10,540,,,6,590,,,"55,640",,,,,
2,,B-2025,"47,240",,,9,540,186,10,590,,,3,680,,,"60,040",,,,,
3,,C-2025,"51,020",,,11,590,186,10,680,,,,,,,"64,310",,,,,
4,Secondary Level,D-2025,"54,560",,,3,680,186,10,800,,,4,"1,190",,,"69,360",,,,,
5,,E-2025,"58,660",,,9,"1,190",186,3,"1,360",,,,,,,"73,450",,,,,
6,,F-2025,"69,370",,,12,"1,360",186,,,,,,,,,"85,690",,,,,
7,Territory Level,G-2025,"74,810",,,9,"1,360",186,6,"1,670",,,,,,,"97,070",,,,,
8,,H-2025,"81,610",,,3,"1,360",186,13,"1,850",,,,,,,"109,740",,,,,
9,,I-2025,"91,750",,,5,"2,400",186,8,"2,940",,,,,,,"127,270",,,,,
10,Senior Level,IA-2025,"101,350",,,3,"2,400",186,8,"2,940",,,2,"3,900",,,"139,870",,,,,
11,,J-2025,"109,090",,,7,"2,940",186,6,"3,900",,,,,,,"153,070",,,,,
12,,K-2025,"117,910",,,4,"2,940",186,8,"3,900",,,,,,,"160,870",,,,,
13,,L-2025,"133,570",,,12,"3,900",186,,,,,,,,,"180,370",,,,,
14,,M-2025,"156,000",,,12,"4,850",186,,,,,,,,,"214,200",,,,,
15,,N-2025,"175,000",,,12,"5,300",186,,,,,,,,,"238,600",,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Years,2nd Slab,Years,187,3rd Slab,Years,4th Slab,Maximum,,,,,,,,,,
Primary Level Unskilled,U- PL 1 - 2025,"42,775",10,450,10,490,10,187,540,12,640,"65,255",,,,,,,,,,
Primary Level Semi-skilled,U -PL 2 - 2025,"44,575",10,490,10,540,10,187,640,12,690,"69,555",,,,,,,,,,
Primary Level Skilled,U-PL 3 - 2025,"48,005",10,490,10,540,10,187,640,12,690,"72,985",,,,,,,,,,
"Management Assistants -
Non Technical",U-MN 1 - 2025,"49,475",10,540,11,640,10,187,890,10,"1,190","82,715",,,,,,,,,,
"Management Assistant -
Technical",U-MT 1 - 2025,"51,095",7,540,11,640,10,187,890,13,"1,190","86,285",,,,,,,,,,
"Associate Officer- Segment
2",U-MN 2 - 2025,"61,275",10,890,18,"1,190",8,187,"1,240",-,-,"101,515",,,,,,,,,,
"Associate Officer- Segment
1",U-MN 3 - 2025,"71,365",10,"1,190",10,"1,700",16,187,"2,020",-,-,"132,585",,,,,,,,,,
"Staff Assistant/Supra &
Senior Staff Assistant",U-MN 4 - 2025,"71,365",6,"1,190",10,"1,700",5,187,"2,020",-,-,"105,605",,,,,,,,,,
Medical Officer,U-MO 1 - 2025,"93,805",10,"2,400",22,"2,940",-,187,-,-,-,"182,485",,,,,,,,,,
Chief Medical Officer,U-MO 2 - 2025,"161,905",15,"3,900",,,-,187,-,-,-,"220,405",,,,,,,,,,
"Junior
Executives/Managers",U-Ex 1 - 2025,"85,305",3,"2,020",21,"2,400",-,187,-,-,-,"141,765",,,,,,,,,,
Middle Level Executives,U-Ex 2 - 2025,"113,690",8,"2,400",10,"2,940",8,187,"3,120",-,-,"187,250",,,,,,,,,,
Middle Level Executives,U-Ex 2a - 2025,"150,530",16,"3,900",-,-,-,187,-,-,-,"212,930",,,,,,,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Years,2nd Slab,Years,188,3rd Slab,Years,4th Slab,Maximum,,,,,,,,,,
Senior Executives,U-Ex 3 -2025,"166,130",7,"3,900",11,"4,850",-,188,-,-,-,"246,780",,,,,,,,,,
"Academic Support-
Segment 2",U-AS 1 - 2025,"68,145",10,"1,190",20,"1,240",-,188,-,-,-,"104,845",,,,,,,,,,
"Academic Support-
Segment 1",U-AS 2 - 2025,"85,305",15,"2,400",15,"2,940",-,188,-,-,-,"165,405",,,,,,,,,,
Demonstrators,U-AC 1 - 2025,Fixed Salary,,,,,,188,,,,"68,145",,,,,,,,,,
"Temporary Assistant
Lecturer",U-AC 2 - 2025,Fixed Salary,,,,,,188,,,,"85,305",,,,,,,,,,
Lecturer,U-AC 3 - 2025,"91,365",10,"2,400",13,"2,940",8,188,"3,900",-,-,"184,785",,,,,,,,,,
Associate Professors,U-AC 4 - 2025,"173,930",13,"3,900",-,-,-,188,-,-,-,"224,630",,,,,,,,,,
"Professors/Senior
Professors",U-AC 5 - 2025,"198,280",7,"4,850",12,"5,300",-,188,-,-,-,"295,830",,,,,,,,,,
Service Category,Salary Code,,Initial,,Years,,1st,189,,Years,,2nd,,Years,,3rd,,Years,,4th,,Maximum
,,,step,,,,Slab,189,,,,Slab,,,,Slab,,,,Slab,,
Primary Level Unskilled,PL 1 - 2025,"40,500",,,10,450,,189,,10,490,,,7,540,,,15,590,,,"62,530"
Primary Level Semi-skilled,PL 2 - 2025,"42,300",,,10,490,,189,,10,540,,,10,590,,,12,630,,,"66,060"
Primary Level Skilled,PL 3 - 2025,"43,280",,,10,490,,189,,10,540,,,10,590,,,12,630,,,"67,040"
"Management Assistant Non
Tech - C 1",MA 1-1 - 2025,"46,220",,,10,540,,189,,7,630,,,4,890,,,20,"1,190",,,"83,390"
"Management Assistants Non
Tech - C 2",MA 1-2 - 2025,"46,220",,,10,540,,189,,7,630,,,12,"1,080",,,12,"1,280",,,"84,350"
"Management Assistant Tech
- C 1",MA 2-1 - 2025,"50,540",,,10,540,,189,,7,630,,,4,890,,,20,"1,190",,,"87,710"
"Management Assistant -
Tech - C 2",MA 2-2 - 2025,"50,540",,,10,540,,189,,7,630,,,4,"1,080",,,20,"1,280",,,"90,270"
Management Assistant Tech,MA 2-3 - 2025,"52,700",,,10,800,,189,,11,"1,190",,,10,"1,320",,,10,"1,350",,,"100,490"
Associate Officers,MA 3 - 2025,"53,940",,,10,800,,189,,11,"1,190",,,10,"1,320",,,5,"1,350",,,"94,980"
Operational/Instructional,MA 4 - 2025,"64,320",,,10,"1,360",,189,,15,"1,670",,,5,"2,040",,,,,,,"113,170"
"Enforcement/Operational/
Extension - C 1",MA 5-1 - 2025,"58,740",,,10,"1,190",,189,,15,"1,360",,,11,"1,670",,,,,,,"109,410"
"Enforcement/Operational/
Extension - C 2",MA 5-2 - 2025,"62,310",,,10,"1,360",,189,,15,"1,670",,,5,"2,040",,,,,,,"111,160"
"Enforcement/operational/
Extension - C 3",MA 5-3 - 2025,"79,440",,,10,"2,040",,189,,20,"2,230",,,,,,,,,,,"144,440"
Service Category,Salary Code,,Initial,,Years,,1st,190,,Years,,2nd,,Years,,3rd,,Years,,4th,,Maximum
,,,step,,,,Slab,190,,,,Slab,,,,Slab,,,,Slab,,
